id,name,address,latitude,longitude,link_2gis,working_hours,tariff,spaces,paid_free
70000001093570449,"Parqour, платная парковка",,43.248762,76.847767,https://2gis.kz/almaty/firm/70000001093570449,,Не указано,Не указано,Не указано
70000001057444345,Парковка ТРК Mega Park,,43.264952,76.929322,https://2gis.kz/almaty/firm/70000001057444345,,Не указано,Не указано,Не указано
9430047375177126,"проспект Назарбаева, 50/1","проспект Назарбаева, 50/1",43.261361,76.94659,https://2gis.kz/almaty/firm/9430047375177126,,Не указано,Не указано,Не указано
70000001090548119,"Almaty Parking, парковка №8046",,43.331214,76.95304,https://2gis.kz/almaty/firm/70000001090548119,,Не указано,Не указано,Не указано
70000001057443905,"Almaty Parking, парковка №6014",,43.249876,76.948222,https://2gis.kz/almaty/firm/70000001057443905,,Не указано,Не указано,Не указано
70000001102945982,"Maksat Med, парковка",,43.254395,76.822232,https://2gis.kz/almaty/firm/70000001102945982,,Не указано,Не указано,Не указано
70000001110970238,"Urban parking, платная парковка",,43.227959,76.936451,https://2gis.kz/almaty/firm/70000001110970238,,Не указано,Не указано,Не указано
9430047408908470,"проспект Достык, 56/1","проспект Достык, 56/1",43.243556,76.957925,https://2gis.kz/almaty/firm/9430047408908470,,Не указано,Не указано,Не указано
9429940000799990,"Сайран-2, автостоянка","5-й микрорайон, 40Б",43.234149,76.865536,https://2gis.kz/almaty/firm/9429940000799990,,Не указано,Не указано,Не указано
70000001086969165,"Almaty Parking, парковка №6002",,43.264464,76.959164,https://2gis.kz/almaty/firm/70000001086969165,,Не указано,Не указано,Не указано
70000001041105439,"Золотая рыбка, автостоянка",,43.859503,77.059847,https://2gis.kz/almaty/firm/70000001041105439,,Не указано,Не указано,Не указано
70000001057445296,Автостоянка,"улица Майлина, 2а",43.346099,77.010415,https://2gis.kz/almaty/firm/70000001057445296,,Не указано,Не указано,Не указано
70000001089496699,"Almaty Parking, парковка №2047",,43.260722,76.944123,https://2gis.kz/almaty/firm/70000001089496699,,Не указано,Не указано,Не указано
70000001057442408,Парковка №1006,,43.192238,76.889054,https://2gis.kz/almaty/firm/70000001057442408,,Не указано,Не указано,Не указано
70000001087008975,"Almaty Parking, парковка №2046",,43.261495,76.93785,https://2gis.kz/almaty/firm/70000001087008975,,Не указано,Не указано,Не указано
70000001057444134,"Almaty Parking, парковка №2005",,43.257607,76.936701,https://2gis.kz/almaty/firm/70000001057444134,,Не указано,Не указано,Не указано
70000001101413784,Парковка ТЦ Ялян,,43.28875,76.889817,https://2gis.kz/almaty/firm/70000001101413784,,Не указано,Не указано,Не указано
70000001026700099,"Мадина, автостоянка","Магнитная улица, 12а",43.33649,76.975439,https://2gis.kz/almaty/firm/70000001026700099,,Не указано,Не указано,Не указано
70000001110994407,"Almaty Parking, парковка №6011",,43.260051,76.956347,https://2gis.kz/almaty/firm/70000001110994407,,Не указано,Не указано,Не указано
70000001091770674,"Almaty Parking, парковка №2017",,43.244116,76.93847,https://2gis.kz/almaty/firm/70000001091770674,,Не указано,Не указано,Не указано
70000001110970927,Парковка ТЦ Мизам,,43.30764,76.89738,https://2gis.kz/almaty/firm/70000001110970927,,Не указано,Не указано,Не указано
70000001110950980,"Almaty Parking, парковка №4002",,43.233191,76.904707,https://2gis.kz/almaty/firm/70000001110950980,,Не указано,Не указано,Не указано
70000001110958971,"Parqour, парковка ТРЦ Aport Mall East",,43.316416,77.024404,https://2gis.kz/almaty/firm/70000001110958971,,Не указано,Не указано,Не указано
70000001110966189,"Almaty Parking, парковка №2018",,43.243213,76.942833,https://2gis.kz/almaty/firm/70000001110966189,,Не указано,Не указано,Не указано
70000001093008220,"Almaty Parking, парковка №7004",,43.232602,76.798256,https://2gis.kz/almaty/firm/70000001093008220,,Не указано,Не указано,Не указано
70000001057443382,"Almaty Parking, парковка №2004",,43.25575,76.929019,https://2gis.kz/almaty/firm/70000001057443382,,Не указано,Не указано,Не указано
